category,confidence,reason,description
Отопление,0.95,Житель сообщает об отсутствии тепла,нет тепла трехкомнатная квартира только в одной комнате тепло
Уборка уличная,0.9,Урна без дна — проблема уличной уборки,урна предподъездная нет дна
НЕЯСНО,0.9,Фраза не содержит информации о проблеме,"часик не работает
ниче не хочу"
Крыша,0.9,"Проблема с дверью на крышу, холод проникает в подъезд",на со слов заявителя на двери выхода на крышу выломали дверь холод заходит в подъезд просят сделать двери закрыть их
Отопление,0.95,Упоминание подачи и отключения тепла,"значит нам полчаса назад дали тепло
На Кухне И В Спальне Отключили Тепло Почему У Нас Очень Холодно Невозможно Спать Невозможно Ничего Делать"
Отопление,0.9,Житель сообщает об отсутствии тепла,"у нас случилось дали тепло у нас его нет
пусть внимательно ремонтируют"
Отопление,0.9,"Завоздушенность часто связана с отоплением, упомянуты ключи от подвала","завоздушенность
да серра с утра приезжали и посмотрели у них не оказалось ключей от подвала и они уехали ничего не сказал все"
Уборка уличная,0.95,Просьба убрать снег во дворе,необходимо убрать дворовую территорию от снега
Ремонт,0.9,Просьба установить кран на кухне,"Нужно  поставит  кран ,на кухне"
Электроснабжение,0.6,Упоминание 'под э' вероятно о свете,под э так в первом подъезде
НЕЯСНО,0.95,Речь не содержит конкретной проблемы,я хотел нужен че непонятно говорю
Иное,0.6,Запрос статуса заявки без указания проблемы,заявка двадцать девять триста два что с ней
Отопление,0.95,Житель сообщает об отсутствии тепла,случилось то что нет тепла я уже звонила вчера звонила так ничего и нет нет тепла в одной комнате в кухне
Уборка уличная,0.95,Просьба убрать снег на придомовой территории,срочно почистить придомовую территорию от снега
Уборка уличная,0.9,Просьба расчистить двор от снега,расчистить территорию дворова снега и убрать снег с крыши где у подъезда
Водоотведение,0.85,"Повреждение канализации и потолка, запах воды",Нанесение повреждений потолочному покрытию сквозное в другую квартиру с повреждением канализационной системы
ХВС,0.95,Запрос о передаче показаний счетчика холодной воды,здравствуйте я бы хотел узнать как мне передать показания счетчика холодной воды и куда это
Уборка внутренняя,0.9,Жалоба на загрязнение в подъезде,кто то все время какает в подъезде сегодня опять
Отопление,0.95,Житель жалуется на отсутствие тепла в квартире,В нашем подъезде есть тепло а у меня в квартире на пятом этаже тепла Нет нужно выпустить воздух в ванной на пятом этаже
Отопление,0.9,Упоминание батарей и риска затопления,"срочно вы меня сейчас зовите соседей в тикет 
 
батареики затопите соседей"
Водоснабжение,0.6,"Упоминание трубы в подвале, вероятно, водопровод",утечка инвестиционных труп в подвале
