customer_id,year,description,work_label,priority
537,2023,у нас  кнопки домофона заедают невозможно войти,Домофоны,Средний
537,2024,"нужно заменить кран входящий воды переключатель
_Платно.",Прочее,Средний
260,2026,"опломбировать счетчик воды
еще <ADDR>",Прочее,Средний
537,2025,с крыши затопила с потолка капает вода,Крыша,Срочно
537,2023,на углу дома у магазина <NAME> разъединилась водосточная труба и мокнет стена дома,Иное,Средний
537,2026,в туалете течет кран с холодной водой воду перекрыть невозможно,ХВС,Срочно
185,2023,из за сильного дождя там повреждена у нас крыша вот уже на чердаке вода и течет уже по дверям и в квартиры а у нас над этим на дверьми в уличном коридоре там везде провода там куча проводов уже пахнет горелым и криса и все мы не знаем уже что делать кого вызывать,Электроснабжение,Срочно
185,2021,"В третий раз вызываем уже слесаря не приезжать не греют батареи 3 дня уже четвёртый день в одной комнате не греют батареи
<PERSON> вызывает третий раз если не 4 <NAME>",Иное,Средний
185,2022,Не уходит вода из унитаза,Водоотведение,Срочно
185,2024,сильный запах канализации в подъезде,Вентиляция,Средний
260,2024,замена шарого экрана на холодную воду,Водоснабжение,Срочно
537,2025,"не работает домофон, не можем выйти из подъезда",Домофоны,Средний
328,2022,Расчистка снега,Уборка уличная,Средний
537,2024,нет воды холодной третий день,ХВС,Срочно
328,2024,здравствуйте я две недели назад звонила по поводу уборки в подъезде по <ADDR> а второй подъезд,Уборка внутренняя,Средний
537,2024,вентиляцию проверить,Вентиляция,Средний
537,2024,нет не чистят ступеньки от снега .,Уборка внутренняя,Средний
537,2025,"1.Сломан доводчик на двери.      
 2.Поменять код.",Домофоны,Средний
537,2025,"затопило подвал канализации
Стоят к\колодцы передано в ЕДДС.",Водоотведение,Срочно
260,2024,да у нас по прежнему нет горячей воды с четырнадцатого августа я уже третий раз вам звоню и ниче не меняется,ГВС,Средний
537,2024,Нет света в квартире,Электроснабжение,Срочно
537,2026,"первый подъезд ,протекает крыша в подъезде",Крыша,Высокий
328,2025,Холодный полотенцесушитель,ГВС,Средний
328,2026,"у меня
розетка в кухне не втыкается это самое с одной стороны",Ремонт,Низкий
537,2024,"нужен акт после затопления
<NAME> : нужно заявления для составления акта.",Иное,Срочно
537,2025,"нужно замазать швы, потому что дома в квартире плесень",Ремонт,Средний
537,2024,Выявить причину отсутствия воды в туалете,Водоснабжение,Средний
328,2022,прорвало трубу за дома западной стороны и скока они приехала и не сделала ничего что затапливает,Иное,Средний
185,2021,Забилась канализация,Засор водоотведения,Срочно
537,2025,топит туалет  из унитаза,Водоотведение,Срочно
537,2026,"третий подъезд ,убирать снег ,очищать отмостки и пробивать каналы ,потому что топит у входной двери",Уборка уличная,Средний
260,2026,топи топит вода идет из унитазов в восемнадцатой и девятнадцатой квартире,Водоотведение,Средний
88,2021,Нету света,Электроснабжение,Срочно
328,2023,Не убирается в подъезде,Уборка внутренняя,Средний
537,2025,дверь домофона  не закрывается отходит,Домофоны,Средний
260,2024,надо уборщицу в конце месяца не было уборщицы пусть праздничные дни приходит мой,Уборка внутренняя,Средний
537,2023,не работает вентиляция,Вентиляция,Средний
185,2024,у нас нет горячей воды нет отопления с самого утра,Отопление,Срочно
260,2022,нет отопления,Отопление,Срочно
185,2021,Засор унитаза,Засор водоотведения,Срочно
328,2024,"Засор канализации
с унитаза вытекают нечистоты",Засор водоотведения,Срочно
185,2021,Нет горячей воды почему на кухне вообще идёт почти холодная ванной потеплее,Водоснабжение,Срочно
537,2023,проверить газовое оборудование,Прочее,Средний
537,2023,не работает трубка домофона,Домофоны,Средний
537,2023,топит канализацией подвал,Водоотведение,Средний
537,2025,снег почистить во дворе,Иное,Средний
185,2021,Сорвали пломбу вырвали провода счетчика электросчетчика показания,Прочее,Средний
537,2024,надо это узнать узнать мне номер телефона газа,Прочее,Срочно
328,2023,нет горячей воды,ГВС,Средний
185,2023,нет воды,Водоснабжение,Срочно
260,2026,убрать двор трактором,Уборка уличная,Срочно
537,2024,нет горячей воды,ГВС,Средний
260,2026,"сломана ручка вх,двери 4 под,",Ремонт,Средний
537,2026,очень протекает потолок я бы хотела чтобы почистили снег,Крыша,Средний
537,2024,плохо уходит вода в унитаз,Водоотведение,Высокий
537,2025,"срочно высылайте лисами здесь хлещет вода со стороны двора вот вих этой где заходят
Закрыли дом по ГВС.",ГВС,Срочно
537,2023,"проверка дымоходов
договориться о встрече по времени",Вентиляция,Средний
537,2026,с крана холодной воды бежит кипяток уже несколько часов с обоих кранов идет горячая вода,Водоснабжение,Срочно
328,2025,Квартиру топит канализационными водами.,Засор водоотведения,Срочно
260,2024,"подвал затоплен
идет вонь по квартире",Водоотведение,Средний
260,2024,уборка по идее срочно нужна я уже заявку давала месяц прошел до сих пор заявка не выполнена,Уборка внутренняя,Средний
537,2024,перенести дату  по проверке вентиляции на 23.08.24г. на 14 -00ч.(22.08.24г.нас не будет дома).,Вентиляция,Средний
328,2024,"хотела попросить чтобы жек через подстанцию сделал сам на обработку, блохи заколебали.",Прочее,Низкий
260,2024,уходит ну вода,Засор водоотведения,Средний
537,2023,"Нет холодной воды по стояку,перемёрзла",ХВС,Средний
328,2022,"на чердаке  надо навести порядок, убрать трупы животных, п/о подъезда(грязь,сажа)",Уборка внутренняя,Средний
537,2026,протекает крыша,Крыша,Высокий
537,2025,течет ночью с ночи течет по стене,Крыша,Срочно
328,2022,протекает крыша,Ремонт,Средний
185,2024,у закрылась дверь та за дверью осталась пожилая бабушка,Иное,Средний
260,2025,"света нету
воды нету",Электроснабжение,Средний
260,2023,очень хотим оставить заявку <ADDR> первый подъезд отопление совсем нет,Отопление,Средний
260,2026,у меня проблема со счетчиком и электричество,Электроснабжение,Срочно
537,2025,"сверху по стояку капает
(Деж.сл.осмотрел: перекрыл стояк ХВС на кв.№<ADDR>,<ADDR>,<ADDR>).",ХВС,Высокий
537,2023,Запах канализации в подъезде,Засор водоотведения,Срочно
537,2024,"Потолок протекает ,на чердаке трубу прорвало, вода бежит у меня

Слит дом по отоплению (деж.слесарь)",Отопление,Срочно
185,2023,потек счетчик водяной,Иное,Средний
537,2023,нужно почистить дворы станционная тринадцать и станционная пятнадцать,Уборка уличная,Срочно
260,2023,"нет отопления
хочу номер телефона главного инженера <NAME> пожалуйста дайте",Отопление,Средний
537,2025,прошу подремонтировать отмостки перед первым и вторым подъездом,Ремонт,Средний
537,2025,в подъезде не закрывается дверь,Домофоны,Средний
185,2024,"нет электричества
свяжитесь с человеком",Электроснабжение,Срочно
185,2023,"нет отопления в квартире
поскорее дайте тепло",Отопление,Срочно
328,2025,у нас козырек который над входом в подъезд надо почистить снег.,Прочее,Средний
328,2025,прошу произвести окос у дома во дворе и особенно по дороге к садику,Уборка уличная,Низкий
185,2021,Засорилась канализация выехать на улицу,Засор водоотведения,Срочно
537,2024,не работает трубка домофона,Домофоны,Средний
537,2025,"Течь с потолка
Деж.сл.: в квартире выше сорвало кран с водонагревателя..",ХВС,Срочно
537,2025,нужно проверить состояние вентиляционных каналов и дымоход,Вентиляция,Средний
537,2025,сегодня ночью шел дождь промок потолок в маленькой комнате,Крыша,Высокий
328,2023,"просить демонтировать стояк г в с , в связи с тем что с ГВС постоянные проблемы(перебои)/// п/о",ГВС,Низкий
537,2026,"вытяжки проверяли , нас дома не было надо проверить",Вентиляция,Средний
260,2025,почему отключили для отопления горячую воду,ГВС,Средний
328,2023,дворника нету крыльцо не чищенное,Уборка уличная,Средний
537,2024,нет холодной воды в квартире,ХВС,Высокий
260,2025,да ничего у нас не случилось просто вчера приходили на квартиру делали замеры фотографии по поводу образования плесени в квартире обещали сегодня в первой половине дня решить вопрос отзвониться до сих пор ни ответа ни привета как говорится прошу со мной связаться,Ремонт,Средний
260,2025,гололет вокруг дома просьба посыпать песком,Уборка уличная,Средний
328,2025,у нас после ремонта не то что не не тут подъезд не моют там такая грязь уберите у нас пожалуйста в подъезде помойте после ремонта,Уборка внутренняя,Низкий
185,2021,На полотенцесушителе по всему стояку нет горячей воды,Водоснабжение,Срочно
185,2021,Так случилась у меня капает батареи утром встала утром встала смотрю часть ковра 2 около батареи,Отопление,Срочно
