category,confidence,reason,description
Отопление,0.97,"Нет тепла в квартире, частичный обогрев",нет тепла трехкомнатная квартира только в одной комнате тепло
Уборка уличная,0.72,"Урна у подъезда сломана, нет дна",урна предподъездная нет дна
НЕЯСНО,0.2,"Неясно что именно не работает, нет деталей","часик не работает
ниче не хочу"
Крыша,0.82,"Выломана дверь выхода на крышу, холод в подъезде",на со слов заявителя на двери выхода на крышу выломали дверь холод заходит в подъезд просят сделать двери закрыть их
Отопление,0.97,Жалоба на отсутствие тепла в квартире,"значит нам полчаса назад дали тепло
На Кухне И В Спальне Отключили Тепло Почему У Нас Очень Холодно Невозможно Спать Невозможно Ничего Делать"
Отопление,0.95,Нет тепла после подачи отопления в доме,"у нас случилось дали тепло у нас его нет
пусть внимательно ремонтируют"
Отопление,0.82,"Завоздушенность системы, мастера не устранили проблему","завоздушенность
да серра с утра приезжали и посмотрели у них не оказалось ключей от подвала и они уехали ничего не сказал все"
Уборка уличная,0.97,Просьба убрать снег на дворовой территории,необходимо убрать дворовую территорию от снега
Ремонт,0.85,Установка крана на кухне — сантехнический ремонт,"Нужно  поставит  кран ,на кухне"
НЕЯСНО,0.15,Текст слишком короткий и неинформативный,под э так в первом подъезде
НЕЯСНО,0.95,"Текст бессвязный, суть обращения не определена",я хотел нужен че непонятно говорю
НЕЯСНО,0.95,"Житель спрашивает о статусе заявки, суть проблемы неизвестна",заявка двадцать девять триста два что с ней
Отопление,0.97,Жалоба на отсутствие тепла в комнате и кухне,случилось то что нет тепла я уже звонила вчера звонила так ничего и нет нет тепла в одной комнате в кухне
Уборка уличная,0.97,Просьба убрать снег с придомовой территории,срочно почистить придомовую территорию от снега
Уборка уличная,0.7,Уборка снега во дворе и с крыши,расчистить территорию дворова снега и убрать снег с крыши где у подъезда
Водоотведение,0.82,Повреждение канализационной системы с протечкой через потолок,Нанесение повреждений потолочному покрытию сквозное в другую квартиру с повреждением канализационной системы
ХВС,0.85,Вопрос о передаче показаний счётчика холодной воды,здравствуйте я бы хотел узнать как мне передать показания счетчика холодной воды и куда это
Уборка внутренняя,0.82,"Загрязнение подъезда, требуется уборка внутри",кто то все время какает в подъезде сегодня опять
Отопление,0.95,"Нет тепла в квартире, нужно спустить воздух",В нашем подъезде есть тепло а у меня в квартире на пятом этаже тепла Нет нужно выпустить воздух в ванной на пятом этаже
Отопление,0.7,упоминание батарей и затопление соседей,"срочно вы меня сейчас зовите соседей в тикет 
 
батареики затопите соседей"
Водоснабжение,0.72,Утечка труб в подвале — водоснабжение,утечка инвестиционных труп в подвале
Отопление,0.95,Нет тепла после продувки системы отопления,В доме было тепло Мы продули сейчас опять тепла нету
Крыша,0.95,"Падение льда с крыши, угроза безопасности",с крыши упали ледины почти на человека
Уборка уличная,0.85,просьба убрать мусор после смены столбов,<ADDR> <ADDR> <ADDR> <ADDR> после смены столбов детки api из столбы оставлены просьба убрать мусор
Водоотведение,0.55,"Затопление, возможна авария водоотведения или водоснабжения","затопило
это не по заявке то срочно приехать"
Иное,0.6,"Требование снять козырек, административный вопрос",так вот нам приходят письма мы живем на втором этаже дом двухэтажный чтобы мы сняли козырек
Крыша,0.72,Обращение связано с доступом на крышу,на девятом этаже закрыт вход на крышу там упала птица попала птица ей никак не выбраться уже второй день она там кричит бессильно необходима помощь скрыть замок и выпустить птицу
НЕЯСНО,0.95,"Житель хочет связаться с оператором, суть обращения не указана",Не с оператором связаться с ним пообщаться
Уборка уличная,0.97,Жалоба на неубранный снег на улице,"не убран снег
срочно убрать снег"
Уборка уличная,0.93,"Не убирают мусор, сломан контейнер, антисанитария",помойку не убирают потому что видите ли контейнер сломан она уже три недели здесь тухнет вонище стоит неимоверное черви уже ползают крысы развелись табунами ходят вы ждете чтобы я позвонила губернатору в конце то концов когда это закончится они говорят контейнеров нет
НЕЯСНО,0.95,"Суть обращения не указана, только эмоции",что случилось ты планет со вчерашнего дня я вам ещё раз говорю
Отопление,0.95,Жалоба на отсутствие тепла в помещениях,нет тепла ванны маленькая комнате на кухне
НЕЯСНО,0.15,"Текст неразборчив, суть обращения непонятна",а вот у нас случилось было это самое полилось мы звони не это слышать вас
НЕЯСНО,0.95,"Текст обрывочный, суть обращения непонятна","в квартире этажом ниже получается 
 жизнь"
Отопление,0.95,Жительница уточняет статус заявки по теплу,"ну я уже как бы оставляла заявку мне сказали ее номер девятнадцать тысяч восемьсот тридцать один я хотела бы выяснить придут ли сегодня налаживать тепло
да хочу добавить номер телефона"
Ремонт,0.95,Ямочный ремонт придомовой территории,Ремонт придомовой территории (ямочный ремонт)
НЕЯСНО,0.95,"Жалоба на процесс, суть проблемы не указана",я сегодня уже два раза оставляла заявку сколько еще треде будем оставлять
Отопление,0.85,затоплен теплоузел — авария в системе отопления,<ADDR>    .у нас затоплен теплоузел
Уборка уличная,0.97,Жалоба на отсутствие уборки снега во дворе,уборка снега не производится во дворе
НЕЯСНО,1.0,Житель не изложил суть обращения,я с кем разговариваю с роботом или с человеком
Крыша,0.85,натечка кровли указывает на проблему с крышей,"натечка кровли
хочу с человеком поговорить"
Вентиляция,0.75,"Упоминание вентиляционного блока, выпал из стены",в вентиляционный блок выпал из стены
